Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Lonzo Ball,6286560.00,USA,2.00,20.00,LAL,52.00,1780.00,12.50,0.44,0.52,0.13,4.20,17.30,10.80,29.00,2.40,2.00,18.60,17.40,-0.50,2.50,2.00,0.05,-0.80,2.40,1.60,1.60
LeBron James,33285709.00,USA,1.00,33.00,CLE,78.00,2898.00,28.50,0.62,0.25,0.33,3.60,22.30,13.10,44.00,1.90,2.10,15.90,31.40,10.40,3.00,13.40,0.22,7.50,2.20,9.70,8.60
Lauri Markkanen,3821640.00,Finland,7.00,20.00,CHI,65.00,1949.00,15.30,0.55,0.47,0.19,3.90,23.60,13.40,6.20,0.90,1.80,8.10,21.70,1.50,1.60,3.20,0.08,-0.70,-1.20,-1.90,0.00
Larry Nance,1471382.00,USA,27.00,25.00,TOT,62.00,1367.00,20.30,0.61,0.03,0.34,12.30,21.60,17.00,8.80,3.00,2.10,10.00,15.80,3.50,2.20,5.70,0.20,1.20,2.40,3.60,1.90
Larry Drew,148318.00,USA,62.00,27.00,TOT,10.00,70.00,3.00,0.35,0.38,0.00,4.80,0.00,2.30,18.70,0.00,0.00,11.10,16.70,-0.10,0.00,-0.10,-0.06,-5.40,-5.40,-10.70,-0.20
Langston Galloway,6666667.00,USA,62.00,26.00,DET,54.00,782.00,12.30,0.51,0.65,0.11,1.70,10.20,5.80,10.30,1.90,0.60,5.10,19.00,0.50,0.80,1.40,0.08,-0.10,-1.50,-1.60,0.10
Lance Thomas,6655325.00,USA,62.00,29.00,NYK,70.00,1302.00,6.40,0.51,0.48,0.21,3.70,10.50,7.10,4.30,1.10,0.90,12.40,10.50,0.20,0.60,0.80,0.03,-2.10,-0.50,-2.60,-0.20
Lance Stephenson,4180000.00,USA,40.00,27.00,IND,78.00,1747.00,12.40,0.50,0.32,0.17,3.70,21.20,12.60,18.40,1.20,0.80,15.10,21.80,-0.20,1.90,1.60,0.05,-1.90,-0.20,-2.10,-0.10
LaMarcus Aldridge,21461010.00,USA,2.00,32.00,SAS,72.00,2416.00,25.20,0.57,0.07,0.30,10.80,17.10,14.00,11.50,0.80,3.00,6.90,29.10,7.30,3.40,10.80,0.21,3.10,0.30,3.40,3.30
Kyrie Irving,18868625.00,Australia,1.00,25.00,BOS,60.00,1931.00,25.10,0.61,0.37,0.24,1.90,10.80,6.40,30.90,1.70,0.70,10.40,31.10,6.30,2.70,9.00,0.22,7.00,-0.60,6.40,4.10
Kyle Singler,4666500.00,USA,33.00,29.00,OKC,12.00,59.00,5.90,0.43,0.24,0.62,1.80,17.50,9.40,4.80,0.80,0.00,10.10,21.60,-0.10,0.00,0.00,-0.03,-7.60,-4.20,-11.80,-0.10
Kyle O'Quinn,4087500.00,USA,49.00,27.00,NYK,73.00,1289.00,19.40,0.62,0.04,0.34,9.00,28.00,18.60,16.90,1.30,6.00,19.30,17.00,2.30,1.90,4.20,0.16,-0.20,4.20,4.00,2.00
Kyle Lowry,28703704.00,USA,24.00,31.00,TOR,74.00,2387.00,19.60,0.60,0.63,0.28,3.10,16.10,9.70,30.40,1.70,0.50,14.50,21.60,6.80,2.90,9.70,0.20,5.50,0.40,5.80,4.70
Kyle Kuzma,1423560.00,USA,27.00,22.00,LAL,76.00,2383.00,14.40,0.55,0.42,0.20,4.00,17.40,10.70,9.20,1.00,1.10,10.80,22.50,1.70,2.30,4.00,0.08,-0.20,-1.10,-1.20,0.50
Kyle Korver,7000000.00,USA,51.00,36.00,CLE,70.00,1516.00,13.50,0.65,0.78,0.15,0.70,10.80,5.80,8.00,0.90,1.50,9.10,16.10,2.80,0.60,3.40,0.11,2.20,-2.20,0.10,0.80
Kyle Collinsworth,92160.00,USA,62.00,26.00,DAL,29.00,409.00,9.80,0.44,0.19,0.44,7.40,17.90,12.50,15.10,2.00,1.30,17.10,13.00,0.00,0.50,0.40,0.05,-3.80,2.20,-1.70,0.00
Kyle Anderson,2151704.00,USA,30.00,24.00,SAS,71.00,1906.00,15.70,0.58,0.13,0.33,4.70,17.80,11.20,14.70,2.90,2.50,16.30,13.50,2.20,3.70,5.90,0.15,-0.40,4.40,4.00,2.90
Kristaps Porzingis,4503600.00,Latvia,4.00,22.00,NYK,48.00,1553.00,20.40,0.54,0.26,0.31,4.50,18.10,11.30,6.30,1.10,6.40,8.40,31.00,1.40,1.80,3.20,0.10,-0.40,-0.20,-0.60,0.50
Kris Dunn,4046760.00,USA,5.00,23.00,CHI,52.00,1525.00,14.50,0.49,0.20,0.17,1.60,14.30,7.80,33.30,3.30,1.60,17.30,24.70,-1.00,1.90,0.90,0.03,-1.40,1.40,0.00,0.80
Kosta Koufos,8393000.00,USA,23.00,28.00,SAC,71.00,1391.00,17.50,0.57,0.00,0.19,11.70,27.80,19.30,9.70,1.70,2.20,10.40,15.20,2.30,1.50,3.80,0.13,-0.90,1.20,0.40,0.80
Klay Thompson,17826150.00,USA,11.00,27.00,GSW,69.00,2369.00,16.10,0.60,0.44,0.09,1.40,10.30,6.20,11.50,1.10,1.10,9.70,23.40,3.00,1.80,4.90,0.10,1.80,-2.20,-0.40,1.00
Khris Middleton,14100000.00,USA,39.00,26.00,MIL,78.00,2857.00,17.40,0.58,0.33,0.28,1.70,15.20,8.50,17.60,2.00,0.60,11.80,24.50,4.40,2.20,6.60,0.11,1.60,-1.20,0.40,1.70
Khem Birch,815615.00,Canada,62.00,25.00,ORL,38.00,481.00,14.60,0.54,0.00,0.39,13.90,19.60,16.70,8.90,1.10,3.00,13.60,12.80,0.80,0.50,1.20,0.12,-1.80,1.40,-0.40,0.20
Kevon Looney,1471382.00,USA,30.00,21.00,GSW,62.00,819.00,14.40,0.58,0.02,0.46,10.90,15.40,13.30,6.10,1.80,4.90,12.60,12.30,1.20,1.20,2.50,0.14,-1.10,2.20,1.10,0.70
Kevin Love,22642350.00,USA,5.00,29.00,CLE,56.00,1556.00,22.40,0.61,0.44,0.37,7.20,30.30,18.90,9.60,1.30,1.30,9.60,25.30,4.30,1.60,5.90,0.18,2.40,-1.40,1.00,1.20
Kevin Durant,25000000.00,USA,2.00,29.00,GSW,64.00,2196.00,26.20,0.64,0.34,0.33,1.70,19.40,11.20,25.30,1.00,4.20,12.90,30.30,7.20,2.90,10.10,0.22,5.00,0.90,5.90,4.40
Kentavious Caldwell-Pope,17745894.00,USA,8.00,24.00,LAL,70.00,2377.00,13.50,0.57,0.52,0.25,2.60,14.40,8.50,9.30,2.10,0.50,9.90,16.90,2.80,2.60,5.40,0.11,0.90,0.40,1.20,1.90
Kent Bazemore,16910113.00,USA,62.00,28.00,ATL,65.00,1789.00,14.50,0.55,0.41,0.30,1.60,13.90,7.70,20.10,2.70,2.20,17.00,22.50,0.20,1.90,2.20,0.06,-0.60,1.10,0.40,1.10
Kenneth Faried,12921348.00,USA,22.00,28.00,DEN,32.00,461.00,17.40,0.55,0.01,0.35,16.70,20.80,18.70,5.80,1.30,2.40,11.90,18.20,0.90,0.40,1.30,0.13,-1.10,-1.20,-2.30,0.00
Kemba Walker,12000000.00,USA,9.00,27.00,CHO,77.00,2663.00,20.70,0.57,0.44,0.31,1.20,8.80,4.90,27.50,1.60,0.80,10.30,27.50,6.30,2.00,8.30,0.15,5.10,-1.90,3.30,3.50
Kelly Oubre,2093040.00,USA,15.00,22.00,WAS,77.00,2121.00,12.20,0.54,0.47,0.30,3.10,15.50,9.30,6.40,1.70,1.40,8.80,19.40,1.60,2.20,3.70,0.09,-0.60,-0.50,-1.10,0.50
Kelly Olynyk,10607169.00,Canada,13.00,26.00,MIA,73.00,1720.00,18.00,0.62,0.44,0.27,5.60,21.40,13.50,18.80,1.80,1.70,17.00,21.60,2.80,2.60,5.50,0.15,1.80,1.40,3.20,2.20
Kay Felder,1312611.00,USA,54.00,22.00,DET,1.00,3.00,-31.60,0.00,0.50,0.00,35.90,0.00,18.40,0.00,0.00,0.00,33.30,44.20,-0.10,0.00,-0.10,-1.01,-29.50,-11.90,-41.40,0.00
Kay Felder,1312611.00,USA,54.00,22.00,CHI,14.00,134.00,3.60,0.39,0.27,0.18,0.80,10.80,5.60,23.00,1.10,0.70,17.40,28.00,-0.50,0.10,-0.50,-0.17,-8.20,-3.30,-11.50,-0.30
Kay Felder,1312611.00,USA,54.00,22.00,TOT,15.00,137.00,2.90,0.38,0.28,0.18,1.50,10.50,5.90,22.50,1.10,0.60,17.90,28.40,-0.60,0.10,-0.50,-0.19,-8.70,-3.50,-12.10,-0.30
Kawhi Leonard,18868625.00,USA,15.00,26.00,SAS,9.00,210.00,26.00,0.57,0.32,0.34,3.10,19.10,11.10,17.70,4.30,3.60,11.10,30.60,0.30,0.50,0.90,0.20,2.70,3.20,5.90,0.40
Karl-Anthony Towns,6216840.00,USA,1.00,22.00,MIN,78.00,2770.00,24.80,0.65,0.25,0.35,9.30,30.90,20.00,10.70,1.10,3.50,10.80,22.90,9.80,3.10,13.00,0.23,4.30,1.00,5.30,5.10
Jusuf Nurkic,2947305.00,Bosnia & Herz...,16.00,23.00,POR,75.00,1966.00,19.10,0.53,0.01,0.29,9.60,26.80,18.30,11.60,1.50,4.30,14.70,26.60,0.60,3.70,4.30,0.11,-2.70,2.70,-0.10,1.00
Justise Winslow,2705040.00,USA,10.00,21.00,MIA,65.00,1587.00,11.50,0.50,0.27,0.21,4.20,20.40,12.30,13.00,1.60,1.80,12.80,16.20,0.30,2.30,2.60,0.08,-2.70,1.80,-0.90,0.40
Justin Patton,2247480.00,USA,16.00,20.00,MIN,1.00,4.00,19.80,0.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,22.10,0.00,0.00,0.00,0.15,-0.70,4.00,3.20,0.00
Justin Jackson,2365560.00,USA,15.00,22.00,SAC,65.00,1413.00,9.80,0.53,0.43,0.09,2.10,12.90,7.20,7.30,1.00,0.80,8.40,14.40,0.60,0.50,1.00,0.04,-1.80,-1.50,-3.40,-0.50
Justin Holiday,4615385.00,USA,62.00,28.00,CHI,69.00,2180.00,10.90,0.52,0.57,0.21,1.50,12.60,6.80,9.90,1.70,1.30,9.80,18.00,0.40,1.60,1.90,0.04,-0.90,-0.20,-1.10,0.50
Justin Anderson,1579440.00,USA,21.00,24.00,PHI,36.00,485.00,11.90,0.52,0.49,0.20,4.90,13.90,9.60,7.30,1.40,1.00,6.60,18.80,0.40,0.60,1.00,0.10,-1.10,-1.40,-2.50,-0.10
Julyan Stone,1524305.00,USA,62.00,29.00,CHO,20.00,106.00,6.70,0.64,1.00,0.29,0.00,24.00,11.70,19.50,0.90,1.60,43.20,5.70,0.00,0.10,0.10,0.06,-3.90,1.10,-2.80,0.00
Julius Randle,4149242.00,USA,7.00,23.00,LAL,78.00,2099.00,19.80,0.61,0.05,0.47,8.80,22.80,15.80,15.60,0.90,1.70,16.10,25.20,3.80,2.40,6.30,0.14,0.30,0.50,0.80,1.50
Juan Hernangomez,2076840.00,Spain,15.00,22.00,DEN,24.00,275.00,10.00,0.52,0.66,0.16,7.40,14.70,11.10,5.90,1.10,0.90,10.20,13.90,0.20,0.10,0.40,0.06,-0.90,-2.30,-3.20,-0.10
Jrue Holiday,25686667.00,USA,17.00,27.00,NOP,77.00,2788.00,17.40,0.57,0.29,0.19,2.30,10.90,6.80,24.50,1.90,1.70,13.60,23.20,3.60,2.60,6.30,0.11,1.60,0.20,1.70,2.60
Josh Smith,5400000.00,USA,17.00,32.00,NOP,3.00,12.00,3.50,0.25,0.00,0.00,28.10,8.80,18.10,0.00,0.00,0.00,0.00,14.40,0.00,0.00,0.00,-0.02,-6.00,-7.40,-13.40,0.00
Josh Richardson,1471382.00,USA,40.00,24.00,MIA,78.00,2601.00,13.70,0.56,0.39,0.16,2.90,8.90,5.90,13.10,2.30,2.40,13.00,18.20,1.90,3.50,5.40,0.10,0.00,1.50,1.50,2.30
Josh McRoberts,6021175.00,USA,37.00,30.00,DAL,2.00,6.00,-12.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.00,0.00,0.00,-0.19,-9.80,-2.30,-12.10,0.00
Josh Jackson,5090040.00,USA,4.00,20.00,PHO,76.00,1929.00,11.80,0.48,0.24,0.30,4.80,14.20,9.40,10.20,1.90,1.40,12.20,25.70,-1.80,1.20,-0.60,-0.02,-3.10,-1.30,-4.30,-1.10
Josh Huestis,1471382.00,USA,29.00,26.00,OKC,67.00,979.00,5.30,0.41,0.63,0.11,4.60,14.00,9.10,2.70,0.80,4.00,12.10,9.40,-0.50,1.00,0.50,0.02,-4.70,0.70,-3.90,-0.50
Josh Hart,1394520.00,USA,30.00,22.00,LAL,59.00,1312.00,11.20,0.58,0.53,0.24,3.10,16.00,9.60,7.70,1.50,0.90,10.10,12.50,1.40,1.30,2.80,0.10,-0.80,0.30,-0.40,0.50
Josh Gray,92160.00,USA,62.00,24.00,PHO,5.00,86.00,7.30,0.35,0.32,0.27,2.40,10.10,6.20,20.80,4.50,1.90,13.20,26.00,-0.30,0.10,-0.20,-0.12,-5.90,0.40,-5.40,-0.10
Jose Calderon,2328652.00,Spain,62.00,36.00,CLE,55.00,888.00,11.50,0.65,0.52,0.17,1.70,8.30,5.00,17.80,1.50,0.20,17.50,11.70,1.50,0.30,1.80,0.10,0.20,-2.00,-1.80,0.10
Jordan Mickey,1471382.00,USA,33.00,23.00,MIA,23.00,284.00,10.60,0.52,0.20,0.23,7.10,25.30,16.30,4.80,1.10,3.00,16.60,17.10,-0.10,0.50,0.30,0.06,-5.50,0.50,-5.00,-0.20
Jordan Crawford,250000.00,USA,27.00,29.00,NOP,2.00,37.00,15.70,0.64,0.36,0.00,6.10,2.80,4.40,35.70,0.00,2.20,22.20,21.10,0.10,0.00,0.10,0.12,1.30,-4.70,-3.40,0.00
Jordan Clarkson,11562500.00,USA,46.00,25.00,TOT,77.00,1819.00,16.70,0.54,0.34,0.20,3.30,9.20,6.30,19.40,1.50,0.30,10.80,26.60,1.90,1.10,3.10,0.08,0.90,-2.60,-1.70,0.10
Jordan Bell,815615.00,USA,38.00,23.00,GSW,53.00,774.00,18.70,0.65,0.02,0.24,9.20,19.20,14.60,17.20,2.10,5.70,18.90,13.80,1.70,1.40,3.00,0.19,0.40,4.00,4.40,1.30
Jonathon Simmons,6300000.00,USA,62.00,28.00,ORL,69.00,2029.00,12.80,0.56,0.27,0.32,3.30,9.70,6.50,13.30,1.40,0.60,14.40,21.90,0.80,1.10,2.00,0.05,-1.00,-1.30,-2.30,-0.20
Jonathan Isaac,4186320.00,USA,6.00,20.00,ORL,27.00,536.00,9.80,0.47,0.32,0.17,3.30,17.20,10.20,4.80,3.00,4.50,14.80,15.00,-0.60,0.80,0.20,0.02,-4.90,3.10,-1.80,0.00
Jonas Valanciunas,15460675.00,Lithuania,5.00,25.00,TOR,74.00,1657.00,22.30,0.63,0.11,0.31,12.20,30.30,21.40,7.60,0.90,3.10,12.90,22.70,4.40,2.80,7.20,0.21,0.70,0.70,1.50,1.50
Jonas Jerebko,4000000.00,Sweden,39.00,30.00,UTA,70.00,1069.00,13.00,0.57,0.45,0.17,5.50,19.50,12.60,5.90,1.10,0.90,6.50,15.60,1.60,1.50,3.10,0.14,-0.60,-0.30,-0.90,0.30
Jon Leuer,10497319.00,USA,40.00,28.00,DET,8.00,136.00,8.90,0.51,0.08,0.42,5.50,20.70,13.00,5.30,0.40,2.00,14.10,16.10,0.00,0.10,0.10,0.05,-5.60,-0.30,-5.90,-0.10
Johnny O'Bryant,1524305.00,USA,36.00,24.00,CHO,36.00,379.00,12.00,0.47,0.25,0.15,8.10,18.70,13.30,5.90,1.20,1.30,7.60,22.50,-0.10,0.40,0.30,0.04,-3.30,-2.10,-5.30,-0.30
John Wall,18063850.00,USA,1.00,27.00,WAS,39.00,1335.00,18.50,0.51,0.25,0.36,1.90,9.90,5.90,43.60,1.90,2.70,16.60,29.00,1.00,1.30,2.30,0.08,1.20,-0.20,0.90,1.00
John Henson,11422536.00,USA,14.00,27.00,MIL,72.00,1869.00,15.80,0.59,0.02,0.32,9.10,21.60,15.40,8.50,1.10,4.80,13.40,15.10,2.70,2.00,4.70,0.12,-1.30,1.80,0.50,1.20
John Collins,1936920.00,USA,19.00,20.00,ATL,71.00,1690.00,18.40,0.62,0.08,0.34,11.20,23.00,17.10,8.20,1.20,4.00,14.30,17.90,3.30,1.90,5.20,0.15,-0.30,1.70,1.40,1.50
Joffrey Lauvergne,1524305.00,France,55.00,26.00,SAS,52.00,523.00,16.50,0.54,0.03,0.24,13.10,22.80,17.90,11.60,0.90,0.50,13.80,20.40,0.60,0.70,1.30,0.12,-1.50,-0.20,-1.60,0.10
Joel Embiid,6100266.00,Cameroon,3.00,23.00,PHI,63.00,1912.00,22.90,0.57,0.20,0.44,8.40,29.80,19.50,18.20,1.00,4.80,15.60,33.50,2.30,3.90,6.20,0.16,0.20,2.60,2.70,2.30
Joel Bolomboy,1312611.00,Ukraine,52.00,24.00,MIL,6.00,38.00,11.70,0.52,0.17,1.00,18.70,12.40,15.50,0.00,2.60,0.00,18.80,12.70,0.00,0.00,0.10,0.08,-3.10,-4.60,-7.70,-0.10
Joe Young,1471382.00,USA,43.00,25.00,IND,50.00,520.00,10.20,0.52,0.35,0.17,2.40,10.80,6.70,9.80,1.30,0.20,12.00,17.90,0.10,0.40,0.50,0.04,-2.50,-2.20,-4.70,-0.40
Joe Johnson,9505000.00,USA,10.00,36.00,TOT,51.00,1129.00,8.40,0.49,0.40,0.12,1.40,14.70,8.10,10.20,0.80,0.50,11.60,16.00,-0.20,1.20,0.90,0.04,-3.30,-0.40,-3.70,-0.50
Joe Ingles,14136364.00,Australia,62.00,30.00,UTA,78.00,2461.00,14.30,0.62,0.65,0.12,1.10,14.10,7.70,22.40,1.80,0.60,17.30,16.00,3.70,3.30,7.00,0.14,2.00,0.90,2.90,3.10
Joe Harris,1524305.00,USA,33.00,26.00,BRK,76.00,1916.00,13.00,0.63,0.58,0.17,2.80,11.30,7.00,9.60,0.90,0.70,12.10,16.70,2.70,0.80,3.60,0.09,1.10,-1.30,-0.20,0.90
Jodie Meeks,3290000.00,USA,41.00,30.00,WAS,74.00,1087.00,12.30,0.55,0.53,0.30,1.60,11.30,6.50,9.10,1.30,0.30,8.00,18.90,1.10,0.70,1.90,0.08,-0.50,-2.40,-2.90,-0.20
Joakim Noah,17765000.00,USA,9.00,32.00,NYK,7.00,40.00,15.60,0.51,0.00,0.40,16.70,22.10,19.40,14.00,2.50,4.30,25.40,17.20,0.00,0.10,0.10,0.07,-2.30,3.30,1.00,0.00
Jimmy Butler,19301070.00,USA,30.00,28.00,MIN,56.00,2077.00,23.50,0.59,0.22,0.45,4.10,12.90,8.50,20.70,2.60,1.00,8.90,24.70,6.80,1.60,8.40,0.19,4.80,0.00,4.90,3.60
Jerryd Bayless,9000000.00,USA,11.00,29.00,PHI,39.00,925.00,7.60,0.55,0.56,0.17,1.80,7.30,4.70,8.10,1.20,0.50,14.10,15.10,0.20,0.90,1.10,0.06,-1.80,-0.90,-2.70,-0.20
Jerian Grant,1713840.00,USA,19.00,25.00,CHI,70.00,1574.00,14.50,0.53,0.37,0.39,2.00,9.60,5.70,30.60,1.80,0.40,13.30,17.30,2.40,0.90,3.30,0.10,0.00,-1.70,-1.80,0.10
Jeremy Lin,12000000.00,USA,62.00,29.00,BRK,1.00,25.00,16.00,0.60,0.17,0.58,0.00,0.00,0.00,27.30,0.00,0.00,16.60,31.30,0.00,0.00,0.00,0.09,-3.00,-10.40,-13.40,-0.10
Jeremy Lamb,7000000.00,USA,12.00,25.00,CHO,77.00,1901.00,17.00,0.56,0.31,0.26,2.70,15.70,9.10,15.40,1.50,1.40,9.20,22.60,2.80,1.80,4.70,0.12,1.10,-0.20,0.80,1.40
Jeremy Evans,104059.00,USA,55.00,30.00,ATL,1.00,5.00,10.40,1.00,0.00,0.00,22.40,0.00,11.20,0.00,0.00,0.00,50.00,17.50,0.00,0.00,0.00,-0.03,-2.30,-6.10,-8.30,0.00
Jerami Grant,1524305.00,USA,39.00,23.00,OKC,78.00,1585.00,15.60,0.60,0.25,0.50,5.70,16.10,10.70,5.10,0.90,4.10,9.10,16.00,3.00,1.80,4.80,0.15,-1.10,0.20,-0.90,0.40
Jeff Withey,1577320.00,USA,39.00,27.00,DAL,9.00,39.00,8.30,0.44,0.63,0.13,2.80,26.40,14.30,0.00,0.00,6.80,10.60,22.00,-0.10,0.10,0.00,-0.05,-9.10,-3.60,-12.70,-0.10
Jeff Teague,19000000.00,USA,19.00,29.00,MIN,66.00,2166.00,16.10,0.55,0.29,0.30,1.20,9.40,5.30,30.50,2.20,0.90,16.80,20.40,3.00,1.30,4.30,0.10,1.40,-1.30,0.10,1.10
Jeff Green,2116955.00,USA,5.00,31.00,CLE,74.00,1715.00,14.20,0.57,0.27,0.37,3.80,11.50,7.70,8.10,1.10,1.60,9.50,19.50,2.50,0.80,3.30,0.09,-0.70,-1.60,-2.40,-0.20
Jayson Tatum,5645400.00,USA,3.00,19.00,BOS,78.00,2383.00,15.10,0.59,0.29,0.31,2.20,15.70,9.10,8.30,1.60,2.00,10.80,19.40,2.90,3.90,6.90,0.14,-0.60,1.60,0.90,1.80
Jaylen Morris,92160.00,USA,62.00,22.00,ATL,6.00,98.00,6.90,0.45,0.29,0.00,2.30,16.00,9.10,10.80,1.00,0.90,16.20,16.50,-0.10,0.10,-0.10,-0.04,-5.90,-1.00,-6.80,-0.10
Jaylen Brown,4956480.00,USA,3.00,21.00,BOS,67.00,2062.00,13.30,0.56,0.38,0.29,3.60,14.30,9.00,8.40,1.60,1.00,12.00,21.00,1.00,3.20,4.20,0.10,-0.80,0.60,-0.20,0.90
Jawun Evans,815615.00,USA,39.00,21.00,LAC,48.00,778.00,7.20,0.42,0.21,0.19,1.30,10.40,5.90,17.80,2.20,0.60,13.80,17.70,-0.80,0.70,-0.10,-0.01,-4.30,-0.50,-4.70,-0.50
JaVale McGee,2116955.00,USA,18.00,30.00,GSW,62.00,584.00,21.80,0.63,0.03,0.23,10.80,18.50,14.90,8.10,1.60,7.60,9.20,18.80,1.50,1.00,2.60,0.21,0.20,2.50,2.70,0.70
Jason Terry,2328652.00,USA,10.00,40.00,MIL,47.00,762.00,8.00,0.53,0.75,0.06,0.80,6.50,3.60,9.70,2.40,1.40,13.60,10.10,0.20,0.50,0.70,0.04,-1.50,-0.70,-2.20,0.00
Jason Smith,5225000.00,USA,20.00,31.00,WAS,31.00,276.00,8.20,0.44,0.28,0.17,7.40,13.90,10.70,7.60,0.50,3.80,11.70,21.90,-0.30,0.20,-0.10,-0.01,-5.10,-1.20,-6.30,-0.30
Jarrett Jack,2328652.00,USA,22.00,34.00,NYK,58.00,1483.00,11.20,0.49,0.19,0.17,1.50,11.90,6.70,31.30,1.20,0.20,19.90,16.50,0.30,0.70,1.00,0.03,-2.00,-1.60,-3.60,-0.60
Jarrett Allen,1713720.00,USA,22.00,19.00,BRK,68.00,1341.00,17.60,0.63,0.04,0.39,10.90,17.70,14.30,5.60,1.00,4.10,15.30,16.70,2.50,1.30,3.90,0.14,-1.10,1.20,0.10,0.70
Jarell Martin,1471382.00,USA,25.00,23.00,MEM,73.00,1661.00,10.50,0.52,0.20,0.23,6.60,15.80,11.10,7.00,1.20,2.80,13.60,17.10,0.10,1.30,1.40,0.04,-3.10,0.10,-3.00,-0.40
